Area Name,Total/ Rural/ Urban,Age-group,Illiterate - Females,Literate - Persons
State - JAMMU & KASHMIR,Total,All ages,3098078,1
State - JAMMU & KASHMIR,Total,0-6,934550,2
State - JAMMU & KASHMIR,Total,7,45715,file1
State - JAMMU & KASHMIR,Total,8,31087,file1
State - JAMMU & KASHMIR,Total,9,20617,file1
State - JAMMU & KASHMIR,Total,10,27667,file1
State - JAMMU & KASHMIR,Urban,80+,12452,file1
State - JAMMU & KASHMIR,Urban,Age not stated,548,file1
State - HIMACHAL PRADESH,Total,All ages,1095583,file1
State - HIMACHAL PRADESH,Total,0-6,370439,file1
State - HIMACHAL PRADESH,Total,7,9478,file1
State - HIMACHAL PRADESH,Total,8,3157,file1
State - PUNJAB,Total,All ages,4832792,file1
State - PUNJAB,Total,0-6,1410225,file1
State - PUNJAB,Total,7,50517,file1
State - PUNJAB,Urban,Age not stated,1702,file1
State - CHANDIGARH,Total,All ages,134695,file1
State - CHANDIGARH,Total,0-6,55898,file1
State - CHANDIGARH,Total,7,1523,file1
State - CHANDIGARH,Total,Age not stated,51,file1
State - CHANDIGARH,Rural,All ages,4632,file1
State - CHANDIGARH,Rural,0-6,1988,file1
