Area Name,Total/ Rural/ Urban,Age-group,Illiterate - Females,Literate - Persons
State - JAMMU & KASHMIR,Total,All ages,3098078,7067233
State - JAMMU & KASHMIR,Total,0-6,934550,10
State - JAMMU & KASHMIR,Total,7,45715,3
State - JAMMU & KASHMIR,Total,8,31087,6
State - JAMMU & KASHMIR,Total,9,20617,3
State - JAMMU & KASHMIR,Total,10,27667,6
State - JAMMU & KASHMIR,Urban,80+,12452,3
State - JAMMU & KASHMIR,Urban,Age not stated,548,6
State - HIMACHAL PRADESH,Total,All ages,1095583,3
State - HIMACHAL PRADESH,Total,0-6,370439,6
State - HIMACHAL PRADESH,Total,7,9478,3
State - HIMACHAL PRADESH,Total,8,3157,6
State - HIMACHAL PRADESH,Urban,80+,1978,3
State - HIMACHAL PRADESH,Urban,Age not stated,56,6
State - PUNJAB,Total,All ages,4832792,3
State - PUNJAB,Total,0-6,1410225,6
State - PUNJAB,Total,7,50517,3
State - PUNJAB,Total,8,26633,63
State - PUNJAB,Urban,80+,35280,6
State - PUNJAB,Urban,Age not stated,1702,3
State - CHANDIGARH,Total,All ages,134695,6
State - CHANDIGARH,Total,0-6,55898,3
State - CHANDIGARH,Total,7,1523,6
State - CHANDIGARH,Total,Age not stated,51,3
State - CHANDIGARH,Rural,All ages,4632,6
State - CHANDIGARH,Rural,0-6,1988,36
State - CHANDIGARH,Rural,7,60,3
State - CHANDIGARH,Rural,8,27,6
